column,status
party_size_flight_label,keep
party_size_ground_access,keep
party_size_ground_access_label,keep
party_size_ground_access_same,delete
passenger_segment,keep
passenger_segment_label,keep
passenger_type,delete
passenger_type_label,delete
previous_flight_origin,keep
previous_or_next_airport,delete
qualified_visitor,delete
race_aian,delete
race_asian,delete
race_black,delete
race_hispanic,delete
race_hp,delete
race_list,keep
race_middle_eastern,delete
race_other,delete
race_unknown,delete
race_white,delete
reasons_no_transit_dislike_crowded_trains_buses,delete
reasons_no_transit_dislike_public_transport,delete
reasons_no_transit_dislike_public_transport_with_luggage,delete
reasons_no_transit_does_not_run_when_needed,delete
reasons_no_transit_dont_know_how,delete
reasons_no_transit_list,keep
reasons_no_transit_no_good_options,delete
reasons_no_transit_not_convenient,delete
reasons_no_transit_not_economical,delete
reasons_no_transit_not_flexible,delete
reasons_no_transit_not_reliable,delete
reasons_no_transit_not_safe,delete
reasons_no_transit_other,delete
reasons_no_transit_prefer_other_mode,delete
reasons_no_transit_ride_too_long,delete
reasons_no_transit_stop_too_far,delete
reasons_no_transit_too_complicated,delete
reasons_no_transit_too_many_transfers,delete
reasons_no_transit_too_much_walking_stairs,delete
reasons_no_transit_wait_too_long,delete
reimbursement,keep
reimbursement_label,keep
resident_visitor,keep
resident_visitor_arriving,delete
resident_visitor_followup,delete
resident_visitor_followup_label,delete
resident_visitor_general,delete
resident_visitor_general_label,delete
resident_visitor_label,keep
resident_visitor_purpose,keep
resident_visitor_purpose_label,keep
reverse_commute_mode,delete
reverse_commute_mode_grouped,reverse_commute_mode
reverse_commute_mode_grouped_label,reverse_commute_mode_label
reverse_commute_mode_label,delete
reverse_commute_mode_other,keep
reverse_mode,delete
reverse_mode_combined,reverse_mode
reverse_mode_combined_label,reverse_mode_label
reverse_mode_combined_other,reverse_mode_other
reverse_mode_grouped,delete
reverse_mode_grouped_label,delete
reverse_mode_label,delete
reverse_mode_predicted,delete
reverse_mode_predicted_grouped,delete
reverse_mode_predicted_grouped_label,delete
reverse_mode_predicted_label,delete
reverse_mode_predicted_other,delete
same_commute_mode,keep
same_commute_mode_label,keep
same_commute_mode_other,delete
sdia_accessmode_decision,keep
sdia_accessmode_decision_label,keep
sdia_accessmode_split_bicycle_electric_bikeshare,delete
sdia_accessmode_split_bicycle_non_electric_bikeshare,delete
sdia_accessmode_split_bicycle_personal_electric_bicycle,delete
sdia_accessmode_split_bicycle_personal_non_electric_bicycle,delete
sdia_accessmode_split_car_black,delete
sdia_accessmode_split_chartered_tour_bus,delete
sdia_accessmode_split_dropped_off_by_family_friend,delete
sdia_accessmode_split_drove_alone_and_parked,delete
sdia_accessmode_split_drove_with_others_and_parked,delete
sdia_accessmode_split_e_scooter_personal,delete
sdia_accessmode_split_e_scooter_shared,delete
sdia_accessmode_split_employee_shuttle,delete
sdia_accessmode_split_flyer_shuttle,delete
sdia_accessmode_split_hotel_shuttle_van,delete
sdia_accessmode_split_list,keep
sdia_accessmode_split_mts992,delete
sdia_accessmode_split_other,delete
sdia_accessmode_split_other_public_transit,delete
sdia_accessmode_split_other_shared_van,delete
sdia_accessmode_split_rental_car_dropped_off,delete
sdia_accessmode_split_rental_car_parked,delete
sdia_accessmode_split_rode_with_other_travelers_and_parked,delete
sdia_accessmode_split_taxi,delete
sdia_accessmode_split_uber_lyft,delete
sdia_accessmode_split_walk,delete
sdia_accessmode_split_wheelchair,delete
sdia_flight_frequency,keep
sdia_flight_frequency_label,keep
sdia_transit_awareness,keep
sdia_transit_awareness_label,keep
shared_van_other,delete
shift_end_time,keep
shift_end_time_label,keep
shift_start_airport_building,keep
shift_start_airport_building_label,keep
shift_start_airport_building_other,keep
shift_start_time,keep
shift_start_time_label,keep
sp_access_walk_time,keep
sp_access_walk_time_label,keep
sp_connection_to_convention_center,keep
sp_connection_to_convention_center_label,keep
sp_connection_to_old_town_center,keep
sp_connection_to_old_town_center_label,keep
sp_connection_to_santafe_depot,keep
sp_connection_to_santafe_depot_label,keep
sp_dropoff_choice_no_transit_access,keep
sp_dropoff_choice_no_transit_access_label,keep
sp_dropoff_choice_transit_access,keep
sp_dropoff_choice_transit_access_label,keep
sp_dropoff_escort,keep
sp_dropoff_escort_label,keep
sp_feature_early_morning,keep
sp_feature_early_morning_label,keep
sp_feature_late_night,keep
sp_feature_late_night_label,keep
sp_feature_luggage_rack,keep
sp_feature_luggage_rack_label,keep
sp_feature_no_delay,keep
sp_feature_no_delay_label,keep
sp_feature_seats_transit,keep
sp_feature_seats_transit_label,keep
