column,value,label_value,count,count_share,label_count,label_share,date
main_mode,22.0,Other shared van (please specify),1,0.0036363636363636364,1.0,0.0036363636363636364,2024-10-01
main_mode,28.0,Rental car: get in a parked rental car,1,0.0036363636363636364,1.0,0.0036363636363636364,2024-10-01
main_mode,17.0,Chartered tour bus,1,0.0036363636363636364,1.0,0.0036363636363636364,2024-10-01
access_mode,1.0,Walk,5,0.4166666666666667,5.0,0.4166666666666667,2024-10-01
access_mode,16.0,Other public transit,2,0.16666666666666666,2.0,0.16666666666666666,2024-10-01
access_mode,14.0,Drove with others and parked,1,0.08333333333333333,1.0,0.08333333333333333,2024-10-01
access_mode,10.0,Uber/Lyft,1,0.08333333333333333,1.0,0.08333333333333333,2024-10-01
access_mode,11.0,Car service/black car/limo/executive car,1,0.08333333333333333,1.0,0.08333333333333333,2024-10-01
access_mode,12.0,Dropped off by car by family/friend,1,0.08333333333333333,1.0,0.08333333333333333,2024-10-01
access_mode,98.0,Other,1,0.08333333333333333,1.0,0.08333333333333333,2024-10-01
reverse_mode,10.0,Uber/Lyft,1,0.25,1.0,0.25,2024-10-01
reverse_mode,9.0,Taxi,1,0.25,1.0,0.25,2024-10-01
reverse_mode,20.0,Employee shuttle,1,0.25,1.0,0.25,2024-10-01
reverse_mode,21.0,Rental car: Dropped off at rental agency,1,0.25,1.0,0.25,2024-10-01
reverse_mode_predicted,12.0,Dropped off by car by family/friend,36,0.4044943820224719,36.0,0.4044943820224719,2024-10-01
reverse_mode_predicted,10.0,Uber/Lyft,27,0.30337078651685395,27.0,0.30337078651685395,2024-10-01
reverse_mode_predicted,13.0,Drove alone and parked,12,0.1348314606741573,12.0,0.1348314606741573,2024-10-01
reverse_mode_predicted,14.0,Drove with others and parked,4,0.0449438202247191,4.0,0.0449438202247191,2024-10-01
reverse_mode_predicted,18.0,Other public transit,3,0.033707865168539325,3.0,0.033707865168539325,2024-10-01
