respondentid,distance,marketsegment_label
7781,1.3325199812313964,EMPLOYEE
8136,15.093129957937327,EMPLOYEE
8737,1.1085668948937077,EMPLOYEE
9615,1.1749809013353865,EMPLOYEE
9679,1.3227749457741038,EMPLOYEE
9620,1.49635967838456,PASSENGER
8680,1.0240692999541758,PASSENGER
5404,5.357095691267999,PASSENGER
9098,1.258296094142099,PASSENGER
7452,2.4025453084445454,PASSENGER
8721,1.243956992207803,PASSENGER
