column,value,label_value,count,count_share,label_count,label_share
reverse_mode_predicted,11.0,Car service/black car/limo/executive car,21,0.017811704834605598,21.0,0.017811704834605598
reverse_mode_predicted,9.0,Taxi,18,0.015267175572519083,18.0,0.015267175572519083
reverse_mode_predicted,17.0,Airport flyer shuttle,17,0.01441899915182358,17.0,0.01441899915182358
reverse_mode_predicted,98.0,Other,15,0.01272264631043257,15.0,0.01272264631043257
reverse_mode_predicted,16.0,MTS Route 992,11,0.009329940627650551,11.0,0.009329940627650551
reverse_mode_predicted,21.0,Rental car: Dropped off at rental agency,11,0.009329940627650551,11.0,0.009329940627650551
reverse_mode_predicted,18.0,Other public transit,9,0.007633587786259542,9.0,0.007633587786259542
reverse_mode_predicted,20.0,Employee shuttle,7,0.005937234944868533,7.0,0.005937234944868533
reverse_mode_predicted,15.0,Rode with other traveler(s) and parked,6,0.005089058524173028,6.0,0.005089058524173028
reverse_mode_predicted,24.0,Other shared van (please specify),6,0.005089058524173028,6.0,0.005089058524173028
reverse_mode_predicted,1.0,Walk,4,0.0033927056827820186,4.0,0.0033927056827820186
reverse_mode_predicted,22.0,Rental car: parked rental car,3,0.002544529262086514,3.0,0.002544529262086514
reverse_mode_predicted,23.0,Hotel shuttle van,3,0.002544529262086514,3.0,0.002544529262086514
reverse_mode_predicted,3.0,Bicycle: electric bikeshare,2,0.0016963528413910093,2.0,0.0016963528413910093
reverse_mode_predicted,4.0,Bicycle: non-electric bikeshare,1,0.0008481764206955047,1.0,0.0008481764206955047
reverse_mode_predicted,7.0,Bicycle: personal non-electric bicycle,1,0.0008481764206955047,1.0,0.0008481764206955047
reverse_mode_predicted,2.0,Wheelchair or other mobility device,1,0.0008481764206955047,1.0,0.0008481764206955047
other_airport_accessmode,12.0,DROPPED OFF BY CAR BY FRIEND FAMILY,190,0.4691358024691358,190.0,0.4691358024691358
other_airport_accessmode,10.0,UBER LYFT,76,0.18765432098765433,76.0,0.18765432098765433
other_airport_accessmode,13.0,DROVE ALONE AND PARKED,32,0.07901234567901234,32.0,0.07901234567901234
other_airport_accessmode,14.0,DROVE WITH OTHERS AND PARKED,23,0.056790123456790124,23.0,0.056790123456790124
other_airport_accessmode,16.0,OTHER PUBLIC TRANSIT,17,0.04197530864197531,17.0,0.04197530864197531
other_airport_accessmode,19.0,RENTAL CAR AND DROPPED IT OFF AT RENTAL AGENCY,17,0.04197530864197531,17.0,0.04197530864197531
other_airport_accessmode,9.0,TAXI,12,0.02962962962962963,12.0,0.02962962962962963
other_airport_accessmode,2.0,WHEELCHAIR OR OTHER MOBILITY DEVICE,11,0.027160493827160494,11.0,0.027160493827160494
other_airport_accessmode,20.0,RENTAL CAR AND PARKED IT,8,0.019753086419753086,8.0,0.019753086419753086
other_airport_accessmode,1.0,WALK,7,0.01728395061728395,7.0,0.01728395061728395
other_airport_accessmode,11.0,CAR SERVICE BLACK CAR LIMO EXECUTIVE CAR,3,0.007407407407407408,3.0,0.007407407407407408
other_airport_accessmode,21.0,HOTEL SHUTTLE VAN,3,0.007407407407407408,3.0,0.007407407407407408
other_airport_accessmode,17.0,CHARTERED TOUR BUS,1,0.0024691358024691358,1.0,0.0024691358024691358
other_airport_accessmode,7.0,PERSONAL NON ELECTRIC BICYCLE,1,0.0024691358024691358,1.0,0.0024691358024691358
other_airport_accessmode,22.0,OTHER SHARED RIDE VAN SERVICE,1,0.0024691358024691358,1.0,0.0024691358024691358
other_airport_accessmode,15.0,RODE WITH OTHER TRAVELER AND PARKED,1,0.0024691358024691358,1.0,0.0024691358024691358
other_airport_accessmode,3.0,ELECTRIC BIKESHARE,1,0.0024691358024691358,1.0,0.0024691358024691358
other_airport_accessmode,18.0,EMPLOYEE SHUTTLE,1,0.0024691358024691358,1.0,0.0024691358024691358
reverse_commute_mode,13.0,Get in a parked vehicle and drive alone,156,0.5777777777777777,156.0,0.5777777777777777
