time_interval,terminal,observed_mean_arrival_seats,observed_mean_departure_seats,time_index,survey_arrivals,survey_arrivals_observations,survey_departures,survey_departures_observations,time_label
"(1600.0, 1630.0]",2,404.125,302.80645161290323,23,0.0,0.0,318.96665198773854,132.0,SIXTEEN_TO_SIXTEEN_THIRTY
"(1630.0, 1700.0]",1,661.0625,677.0645161290323,24,0.0,0.0,637.2146170374415,32.0,SIXTEEN_THIRTY_TO_SEVENTEEN
"(1630.0, 1700.0]",2,240.03703703703704,1002.3225806451613,24,0.0,0.0,1077.3274648752786,83.0,SIXTEEN_THIRTY_TO_SEVENTEEN
"(1700.0, 1730.0]",1,695.9375,434.80645161290323,25,0.0,0.0,264.6160324236329,22.0,SEVENTEEN_TO_SEVENTEEN_THIRTY
"(1700.0, 1730.0]",2,286.03125,822.7096774193549,25,0.0,0.0,1012.2278055182591,119.0,SEVENTEEN_TO_SEVENTEEN_THIRTY
"(1730.0, 1800.0]",1,440.258064516129,698.483870967742,26,0.0,0.0,674.9726884975319,24.0,SEVENTEEN_THIRTY_TO_EIGHTEEN
"(1730.0, 1800.0]",2,641.15625,167.68421052631578,26,0.0,0.0,196.8439787416116,40.0,SEVENTEEN_THIRTY_TO_EIGHTEEN
"(1800.0, 1830.0]",1,695.34375,480.4375,27,0.0,0.0,837.0428334188344,23.0,EIGHTEEN_TO_EIGHTEEN_THIRTY
"(1800.0, 1830.0]",2,982.625,389.4193548387097,27,0.0,0.0,47.6127782513803,21.0,EIGHTEEN_TO_EIGHTEEN_THIRTY
"(1830.0, 1900.0]",1,507.34375,500.53125,28,0.0,0.0,380.4676747194069,24.0,EIGHTEEN_THIRTY_TO_NINETEEN
"(1830.0, 1900.0]",2,1337.21875,581.15625,28,0.0,0.0,715.849839664513,102.0,EIGHTEEN_THIRTY_TO_NINETEEN
"(1900.0, 1930.0]",1,631.875,598.8,29,0.0,0.0,714.3094838447691,34.0,NINETEEN_TO_NINETEEN_THIRTY
"(1900.0, 1930.0]",2,1219.46875,477.0,29,0.0,0.0,371.4103158555532,93.0,NINETEEN_TO_NINETEEN_THIRTY
"(1930.0, 2000.0]",1,393.60714285714283,424.2758620689655,30,0.0,0.0,565.3964558198716,19.0,NINETEEN_THIRTY_TO_TWENTY
"(1930.0, 2000.0]",2,1263.34375,557.8064516129032,30,0.0,0.0,432.85685136404356,87.0,NINETEEN_THIRTY_TO_TWENTY
"(2000.0, 2030.0]",1,583.125,451.10714285714283,31,0.0,0.0,231.5583896089525,21.0,TWENTY_TO_TWENTY_THIRTY
"(2000.0, 2030.0]",2,1067.0625,132.61290322580646,31,0.0,0.0,356.51416672857994,51.0,TWENTY_TO_TWENTY_THIRTY
"(2030.0, 2100.0]",1,452.96666666666664,790.6190476190476,32,0.0,0.0,1543.7032820485592,23.0,TWENTY_THIRTY_TO_TWENTY_ONE
"(2030.0, 2100.0]",2,856.53125,1026.28125,32,0.0,0.0,309.7921280332612,52.0,TWENTY_THIRTY_TO_TWENTY_ONE
"(2100.0, 2130.0]",1,503.90625,347.32,33,0.0,0.0,377.5563364760958,29.0,TWENTY_ONE_TO_TWENTY_ONE_THIRTY
"(2100.0, 2130.0]",2,801.40625,187.74193548387098,33,0.0,0.0,159.78394308377048,59.0,TWENTY_ONE_TO_TWENTY_ONE_THIRTY
"(2130.0, 2200.0]",1,552.2903225806451,568.9,34,0.0,0.0,1108.8302926895067,6.0,TWENTY_ONE_THIRTY_TO_TWENTY_TWO
"(2130.0, 2200.0]",2,1146.78125,940.90625,34,0.0,0.0,407.1932218539468,29.0,TWENTY_ONE_THIRTY_TO_TWENTY_TWO
"(2200.0, 2230.0]",1,471.125,183.14285714285714,35,0.0,0.0,4.114951008107845,1.0,TWENTY_TWO_TO_TWENTY_TWO_THIRTY
"(2200.0, 2230.0]",2,644.03125,856.75,35,0.0,0.0,1041.3710152467786,44.0,TWENTY_TWO_TO_TWENTY_TWO_THIRTY
"(2230.0, 2300.0]",1,256.0,0.0,36,0.0,0.0,6.542914193320938,2.0,TWENTY_TWO_THIRTY_TO_TWENTY_THREE
"(2230.0, 2300.0]",2,705.1875,413.2903225806452,36,0.0,0.0,406.59892083930737,25.0,TWENTY_TWO_THIRTY_TO_TWENTY_THREE
"(2300.0, 2330.0]",1,767.25,0.0,37,0.0,0.0,0.4718464830504424,2.0,TWENTY_THREE_TO_TWENTY_THREE_THIRTY
"(2300.0, 2330.0]",2,548.1875,0.0,37,0.0,0.0,0.8434217061992888,5.0,TWENTY_THREE_TO_TWENTY_THREE_THIRTY
"(2330.0, 2400.0]",2,0.0,0.0,38,0.0,0.0,0.476751721582104,2.0,TWENTY_THREE_THIRTY_TO_MIDNIGHT
"(0.0, 30.0]",1,0.0,0.0,39,0.0,0.0,0.0,0.0,MIDNIGHT_TO_ZERO_THIRTY
"(0.0, 30.0]",2,194.0,0.0,39,0.0,0.0,0.7242337758037628,4.0,MIDNIGHT_TO_ZERO_THIRTY
"(30.0, 100.0]",2,194.0,0.0,40,0.0,0.0,0.4858579150127108,3.0,ZERO_THIRTY_TO_ONE
