iter,control,mean_adj,min_adj,max_adj,std_adj,mean_weight,min_weight,max_weight,sd_weight
1,tot_emp,2.9588967835587137,1,6.8766903506761405,3.392908755906946,1.289583746936573,1,6.8766903506761405,1.2720527286170522
1,pax_arrive,2.2324473056862604,1,3.3900018744141027,1.1967597634707532,11.466696823628885,1,893.1407513076557,70.02225276209595
1,pax_depart,2.3422924593693915,1,3.6352606072555456,1.3183225260973463,22.607788599471412,2.307340042644678,893.1407513076557,101.90560985833329
1,bus992_depart,0.9251165912556856,0.7753497737670567,1,0.12970186858910013,22.585385647661624,1.8543395222180845,893.1407513076557,101.90920594050372
1,bus992_arrive,0.9487948396954029,0.8463845190862087,1,0.08868993925727121,22.51577344066477,1.8543395222180845,893.1407513076557,101.54099342868741
1,flyer_depart,0.9462886414993416,0.8388659244980248,1,0.09303080186668687,22.206592267914804,1.8543395222180845,893.1407513076557,100.3617112011354
1,flyer_arrive,0.8954583909127282,0.6863751727381844,1,0.18107137844415913,22.17587327675915,1.5837009203359707,893.1407513076557,100.36415294979425
2,tot_emp,1.0228230824519133,1,1.0684692473557402,0.03953073839204769,22.197596434526087,1.5837009203359707,893.1407513076557,100.36080543751166
2,pax_arrive,0.9037904192095422,0.8462198296154405,1,0.08385591172588906,16.41496128999101,1.370141112774462,893.1407513076557,76.94175194340876
2,pax_depart,0.9023458075692589,0.8430029815106361,1,0.08522227730242503,10.198011696100423,1.370141112774462,327.9586525729187,33.81574180044976
2,bus992_depart,1.0092354998857538,1,1.0277064996572616,0.015996355035422242,10.199919404604046,1.370141112774462,327.9586525729187,33.81544051815146
2,bus992_arrive,0.982217374832448,0.9466521244973438,1,0.03080041028215319,10.194924227279285,1.370141112774462,327.9586525729187,33.80511849222621
2,flyer_depart,0.9330122195632995,0.7990366586898984,1,0.11602623920263382,10.13029910421873,1.370141112774462,327.9586525729187,33.761174862308444
2,flyer_arrive,0.9445824799857895,0.8337474399573683,1,0.09598596029407781,10.125010218072111,1.1423516451560476,327.9586525729187,33.762285609632706
3,tot_emp,1.0099892976176839,1,1.0299678928530513,0.01730197100575506,10.134873484073125,1.1423516451560476,327.9586525729187,33.761349208472275
3,pax_arrive,0.9081580256992304,0.8482582582860606,1,0.08075653212113953,7.913294272021299,1.0009465821312196,320.54910536739567,26.249894002851903
3,pax_depart,0.9061052821652832,0.8442859948670265,1,0.08266400535730398,5.542791122294917,1.0009465821312196,122.17649786367716,12.559974125126296
3,bus992_depart,1.0187240840133702,1,1.0561722520401107,0.0324310648363454,5.54654834052868,1.0009465821312196,122.17649786367716,12.559830609385912
3,bus992_arrive,1.080114530112222,1,1.2403435903366655,0.138762436578875,5.560360698482355,1.0009465821312196,122.17649786367716,12.612225220257773
3,flyer_depart,0.8990598167730443,0.6971794503191329,1,0.17483352587439907,5.531962445185106,0.21488650843226437,122.17649786367716,12.616047672297539
3,flyer_arrive,1.0444718259965962,1,1.1334154779897887,0.07702746213146709,5.534496550818899,0.21488650843226437,122.17649786367716,12.61529565507609
4,tot_emp,1.0113355276216045,1,1.0340065828648135,0.019633709771219393,5.545645308033109,0.21488650843226437,122.17649786367716,12.616693925811843
4,pax_arrive,0.9272381286271013,0.8702288798117939,1,0.06630418347892471,4.696796861605644,0.21488650843226437,116.0999627261296,10.140752373844649
4,pax_depart,0.9251884738758354,0.867542525422025,1,0.06787664130952152,3.8037285706545343,0.09930784233262722,56.98034737133392,5.976533426759125
4,bus992_depart,1.0090609087107276,1,1.0271827261321826,0.015693954249723523,3.8056031183875922,0.09930784233262722,56.98034737133392,5.977047407732746
4,bus992_arrive,1.0305680587141026,1,1.0917041761423079,0.0529454307815743,3.8114234260192577,0.09930784233262722,86.54046895242645,6.0202347482470095
4,flyer_depart,0.8670866062668965,0.6012598188006895,1,0.23021275095214208,3.793205006701703,0.08931407513076557,86.54046895242645,6.024854751074486
