iter,control,mean_adj,min_adj,max_adj,std_adj,mean_weight,min_weight,max_weight,sd_weight
1,tot_emp,3.0405095339821187,1,7.121528601946356,3.5342661861857225,1.5939533398062724,1,7.121528601946356,1.8121475150831823
1,pax_depart,2.4478018484950392,1,3.8534754163877527,1.427204113643944,34.772495080396645,2.489930129097365,1917.585502807555,188.7983246374071
1,bus992_depart,0.9242497359817078,0.7727492079451234,1,0.1312033059664387,34.72586392227194,1.9240915350986876,1917.585502807555,188.80521518811625
1,flyer_depart,0.9487904183248695,0.8463712549746085,1,0.08869759729567415,33.79276916381837,1.9240915350986876,1917.585502807555,184.88009949268306
1,flight_departure_6_to_630,6.7800977111526315,1,18.340293133457894,10.011422908428935,34.67166621478648,1.9240915350986876,1917.585502807555,189.25039882357382
1,flight_departure_630_to_7,1.0055776344150025,1,1.0167329032450072,0.00966074619282887,34.67751237971406,1.9240915350986876,1917.585502807555,189.25695119301008
1,flight_departure_7_to_730,2.2872436894541823,1,4.8617310683625465,2.2295714718570574,35.2733146422963,1.9240915350986876,1917.585502807555,191.1203334836513
1,flight_departure_730_to_8,2.3761826081864474,1,5.128547824559343,2.3836181978715802,36.8383877182751,1.9240915350986876,1917.585502807555,197.47626401267274
1,flight_departure_8_to_830,0.9570995542250149,0.8712986626750446,1,0.07430575174962781,36.035373855448285,1.9240915350986876,1917.585502807555,194.14981676393234
1,flight_departure_830_to_9,0.9576554590512402,0.8729663771537204,1,0.07334289634643293,35.4613770093448,1.6796672167072417,1917.585502807555,191.8794550383598
1,flight_departure_9_to_930,0.9435525989779394,0.8306577969338182,1,0.09776976652542431,34.95290105404657,1.5982616356440842,1917.585502807555,191.1413541178303
1,flight_departure_930_to_10,0.9505913099405499,0.8517739298216496,1,0.08557836151839099,33.7938812144748,1.5982616356440842,1917.585502807555,186.19037287028834
1,flight_departure_10_to_1030,0.9336959558275079,0.8010878674825237,1,0.11484197325404746,33.46338833126603,1.541366384693383,1917.585502807555,186.07933103177416
1,flight_departure_1030_to_11,0.9546064025722152,0.8638192077166456,1,0.0786240170832512,32.633075184615095,1.541366384693383,1917.585502807555,183.13058014457795
1,flight_departure_11_to_1130,0.9510638880393526,0.8531916641180579,1,0.08475983224072026,31.97125192017868,1.541366384693383,1917.585502807555,181.5692135172241
1,flight_departure_1130_to_12,0.9576560600216121,0.8729681800648362,1,0.07334185543521488,30.94768655117711,1.541366384693383,1917.585502807555,175.32009235759998
1,flight_departure_12_to_1230,0.9470876647172202,0.8412629941516606,1,0.09164685305689395,29.880332117946605,1.541366384693383,1917.585502807555,170.110037477639
1,flight_departure_1230_to_13,0.9557234677405363,0.8671704032216089,1,0.07668920345635356,28.3801100388264,1.541366384693383,1917.585502807555,160.8326216765845
1,flight_departure_13_to_1330,0.94812051424833,0.8443615427449901,1,0.08985790519243804,27.04910704715456,1.541366384693383,1917.585502807555,153.347176675837
1,flight_departure_1330_to_14,0.9538726385440227,0.861617915632068,1,0.07989493366084703,25.75413051560834,1.541366384693383,1917.585502807555,145.05317655151313
1,flight_departure_14_to_1430,0.9338664850044222,0.8015994550132663,1,0.11454660805545913,25.38355171507258,1.541366384693383,1917.585502807555,144.44607462292535
1,flight_departure_1430_to_15,0.9360342180185368,0.8081026540556104,1,0.11079198433776806,24.54274904740697,1.541366384693383,1917.585502807555,142.16691856502143
1,flight_departure_15_to_1530,0.942425716176328,0.827277148528984,1,0.09972158479199081,23.739076951207963,1.541366384693383,1917.585502807555,140.28811027388232
1,flight_departure_1530_to_16,0.9539261140486434,0.8617783421459302,1,0.07980231136988356,22.49824827794247,1.541366384693383,1917.585502807555,131.19922986972534
1,flight_departure_16_to_1630,0.9431792557243299,0.8295377671729899,1,0.09841641600933895,21.477885005793556,1.541366384693383,1917.585502807555,124.57600890126022
1,flight_departure_1630_to_17,0.9576783255715309,0.8730349767145926,1,0.07330329037149705,20.836678652626446,1.541366384693383,1917.585502807555,119.66095640381835
1,flight_departure_17_to_1730,0.9569093712431852,0.8707281137295557,1,0.07463515833689169,20.536872089257077,1.541366384693383,1917.585502807555,117.78474676935507
1,flight_departure_1730_to_18,0.9407965767924442,0.8223897303773327,1,0.102543336977489,20.39011735451124,1.541366384693383,1917.585502807555,117.19872275741446
1,flight_departure_18_to_1830,0.954584646323304,0.863753938969912,1,0.07866170001174747,19.939272346168707,1.541366384693383,1917.585502807555,113.35907196395698
1,flight_departure_1830_to_19,0.9514069862786149,0.8542209588358445,1,0.08416556865833073,19.46838522135352,1.541366384693383,1917.585502807555,110.68775387291585
1,flight_departure_19_to_1930,0.945001572507259,0.8350047175217771,1,0.09526007075382034,19.113640601323365,1.541366384693383,1917.585502807555,107.29187489929141
1,flight_departure_1930_to_20,0.9558270659036616,0.8674811977109849,1,0.07650976617424969,18.275826030564744,1.541366384693383,1917.585502807555,99.1055300399428
1,flight_departure_20_to_2030,0.932679817545669,0.7980394526370068,1,0.11660197638570828,18.12544852672763,1.541366384693383,1917.585502807555,98.96629218326859
1,flight_departure_2030_to_21,0.9564953132043184,0.8694859396129551,1,0.07535232789749147,17.682973881122045,1.541366384693383,1917.585502807555,94.4662684891298
1,flight_departure_21_to_2130,0.9253642584411,0.7760927753233002,1,0.12927289644059461,17.60926477895605,1.541366384693383,1917.585502807555,94.42025096820427
1,flight_departure_2130_to_22,0.9700865895534178,0.9102597686602533,1,0.05181154672114207,17.567871245625934,1.541366384693383,1917.585502807555,94.3627804869475
